<details> <summary> <b>OpenClash new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/vernesong/OpenClash/compare/c310b4ada112e079a11fe0a17d5c810a056359c7...109a1669ba549f2d4f87025807dd2fc3067b203d)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
109a1669|vernesong|Sun Sep 6 07:25:39 2026 +0800|chore: update skill
5477bcb6|vernesong|Sun Sep 6 03:14:30 2026 +0800|chore: add sha256sum check for core and package download
e1410bd4|vernesong|Sun Sep 6 02:56:20 2026 +0800|chore: add cdn list auto update
00c5c1e8|vernesong|Sat Sep 5 22:16:20 2026 +0800|0.47.163
29ac2648|vernesong|Sat Sep 5 12:17:18 2026 +0800|0.47.162
b140d29f|Cerarin|Sat Sep 5 12:14:37 2026 +0800|fix: improve external dashboard access (#5282)
8f3ed8d5|vernesong|Sat Sep 5 11:32:09 2026 +0800|#5312
cfc7fe55|vernesong|Sat Sep 5 11:30:54 2026 +0800|chore: mode switch ui
</details>
